id,title,authors,type,venue,year,acceptance,note,abstract,pubmed
2011a,Neural Correlates of Cognitive Flexibility in Children At Risk for Bipolar Disorder,"Kim, P., Jenkins, S. E., Connolly, M. E., Deveney, C. M., Fromm, S. J., Brotman, M. A., Nelson, E. E., Pine, D. S., & Leibenluft, E.",Journal Paper,Journal of Psychiatric Research,2011,,,,
2011b,Neuroendocrinology of Parental Response to Baby-cry,"Swain, J. E., Kim, P*, & Ho, S*.",Journal Paper,Journal of Neuroendocrinology,2011,,,"This overview attempts to synthesize current understandings of the neuroendocrine basis of parenting. The parent-infant bond is central to the human condition, contributes to risks for mood and anxiety disorders, and provides the potential for resiliency and protection against the development of psychopathology. Animal models of parenting provide compelling evidence that biological mechanisms may be studied in humans. This has led to brain imaging and endocrine system studies of human parents using baby stimuli and concerted psychological and behavioral measures. Certain brain circuits and related hormonal systems, including subcortical regions for motivation (striatum, amygdala, hypothalamus and hippocampus) and cortical regions for social cognition (anterior cingulate, insula, medial frontal and orbitofrontal cortices) appear to be involved. These brain circuits work with a range of endocrine systems to manage stress, motivate appropriate parental caring behavior with flexibility appropriate to the environment. Work in this field promises to link evolving models of parental brain performance with resilience, risk and treatment toward mother-infant mental health.",http://www.ncbi.nlm.nih.gov/pubmed/21848646
2011c,Neural Recruitment during Failed Motor Inhibition Differentiates Youths with Bipolar Disorder and Severe Mood Dysregulation,"Deveney, C. M., Jenkins, S. E., Connolly, M. E., Kim, P., Fromm, S. J., Pine, D. S., & Leibenluft, E.",Journal Paper,Biological Psychology,2011,,,,
2011d,"Breastfeeding, Brain Activation to Own Infant Cry, and Maternal Sensitivity","Kim, P., Jenkins, S. E., Connolly, M. E., Deveney, C. M., Fromm, S. J., Brotman, M. A., Nelson, E. E., Pine, D. S., & Leibenluft, E.",Journal Paper,Journal of Child Psychology and Psychiatry,2011,,,"Research points to the importance of breastfeeding for promoting close mother infant contact and social-emotional development. Recent functional magnetic resonance imaging (fMRI) studies have identified brain regions related to maternal behaviors. However, little research has addressed the neurobiological mechanisms underlying the relationship between breastfeeding and maternal behavior in human mothers. We investigated the associations between breastfeeding, maternal brain response to own infant stimuli, and maternal sensitivity in the early postpartum.",http://www.ncbi.nlm.nih.gov/pubmed/21501165
2011e,"Family Resources, Genes, and Human Development","Kim, P. & Evans, G. W.",Book Chapter,Biosocial Research Contributions to Understanding Family Processes and Problems,2011,,,"We review the effects of genes and family resources on families and children. Poverty increases children's exposures to environmental risk factors such as child abuse, poor quality parenting, and suboptimal physical environment. These environmental risk factors interact with various genes to predict more behavioral problems in childhood. Relations between genes and environments are likely more complex than simple individual gene x environment interactions. In some cases, genetic or environmental factors may have different impacts in low- vs. high-SES groups. Finally, we speculate about biological mechanisms that may account for gene by environment interactions. Poverty and related environmental factors may interact with genes, which may lead to abnormal brain development as well as _dysregulation in both neurotransmitters and neuroendocrine stress regulatory systems.",http://www.springerlink.com/content/xrn3k4118w757831/
2010a,The Plasticity of Human Maternal Brain: Longitudinal Changes in Brain Anatomy during the Early Postpartum Period,"Kim, P., Leckman, J. F., Mayes, L. C., Feldman, R, Wang, X., & Swain, J. E.",Journal Paper,Behaviorial Neuroscience,2010,,,"Animal studies suggest that structural changes occur in the maternal brain during the early postpartum period in regions such as the hypothalamus, amygdala, parietal lobe, and prefrontal cortex and such changes are related to the expression of maternal behaviors. In an attempt to explore this in humans, we conducted a prospective longitudinal study to examine gray matter changes using voxel-based morphometry on high resolution magnetic resonance images of mothers' brains at two time points: 2-4 weeks postpartum and 3-4 months postpartum. Comparing gray matter volumes across these two time points, we found increases in gray matter volume of the prefrontal cortex, parietal lobes, and midbrain areas. Increased gray matter volume in the midbrain including the hypothalamus, substantia nigra, and amygdala was associated with maternal positive perception of her baby. These results suggest that the first months of motherhood in humans are accompanied by structural changes in brain regions implicated in maternal motivation and behaviors.",http://www.ncbi.nlm.nih.gov/pubmed/20939669
2010b,Perceived Quality of Maternal Care in Childhood and Structure and Function of Mothers' Brain in the Postpartum,"Kim, P., Leckman, J. F., Mayes, L. C., Newman, M., Feldman, R. & Swain, J. E.",,Developmental Science,2010,,,"Animal studies indicate that early maternal care has long-term effects on brain areas related to social attachment and parenting, whereas neglectful mothering is linked with heightened stress reactivity in the hippocampus across the lifespan. The present study explores the possibility, using magnetic resonance imaging, that perceived quality of maternal care in childhood is associated with brain structure and functional responses to salient infant stimuli among human mothers in the first postpartum month. Mothers who reported higher maternal care in childhood showed larger grey matter volumes in the superior and middle frontal gyri, orbital gyrus, superior temporal gyrus and fusiform gyrus. In response to infant cries, these mothers exhibited higher activations in the middle frontal gyrus, superior temporal gyrus and fusiform gyrus, whereas mothers reporting lower maternal care showed increased hippocampal activations. These findings suggest that maternal care in childhood may be associated with anatomy and functions in brain regions implicated in appropriate responsivity to infant stimuli in human mothers.",http://www.ncbi.nlm.nih.gov/pubmed/20590729
2010c,Multiple Risk as a Potential Explanatory Mechanism for the SES-health Gradient,"Evans, G. W. & Kim, P.",,Annals of the New York Academy of Sciences,2010,,,"The social patterning of disease and mortality provokes a search for explanation. One potential underlying explanation for socioeconomic status (SES) gradients in health is exposure to multiple risk factors. Income and class tend to sort individuals into different settings that are often accompanied by systematic differences in environmental quality. Housing and neighborhood quality, pollutants and toxins, crowding and congestion, and noise exposure all vary with SES. Persons lower in SES also experience more adverse interpersonal relationships with family members, friends, supervisors, and community members. Furthermore, exposure to these multiple risk factors is associated with worse health outcomes. Thus, the convergence of exposure to multiple physical and psychosocial risk factors accompanying disadvantage may account for a portion of SES gradients in health in both childhood and adulthood.",http://www.ncbi.nlm.nih.gov/pubmed/20201873
2009a,The Built Environment and Children,"Evans, G. W. & Kim, P.",,The Chicago Companion to the Child,2009,,,,
2009b,The Health and Well-Being of Urban Children: An Ecological Model,"Ferguson, K. T., Kim, P., Dunn, J. R., & Evans, G. W.",,Interdisciplinary Urban Health Research and Practice,2009,,,,
